iter	Passed	Remaining
422	2191	49627
423	2194	49562
424	2200	49565
425	2204	49545
426	2208	49523
427	2213	49495
428	2217	49463
429	2221	49442
430	2226	49423
431	2236	49535
432	2239	49489
433	2246	49526
434	2250	49495
435	2255	49467
436	2263	49537
437	2270	49569
438	2276	49575
439	2281	49581
440	2289	49633
441	2296	49654
442	2303	49692
443	2313	49802
444	2323	49882
445	2332	49969
446	2343	50087
447	2353	50172
448	2359	50195
449	2365	50205
450	2375	50299
451	2385	50394
452	2404	50664
453	2411	50703
454	2420	50774
455	2429	50847
456	2435	50852
457	2441	50857
458	2454	51018
459	2466	51151
460	2472	51160
461	2478	51162
462	2490	51295
463	2501	51415
464	2510	51483
465	2520	51557
466	2527	51604
467	2539	51726
468	2546	51752
469	2556	51835
470	2566	51919
471	2577	52023
472	2584	52060
473	2591	52073
474	2599	52132
475	2611	52260
476	2618	52268
477	2623	52260
478	2630	52289
479	2643	52433
480	2653	52515
481	2665	52629
482	2677	52758
483	2683	52765
484	2686	52710
485	2692	52704
486	2697	52696
487	2702	52683
488	2708	52670
489	2712	52651
490	2717	52625
491	2721	52598
492	2726	52571
493	2730	52545
494	2735	52519
495	2739	52495
496	2744	52470
497	2748	52443
498	2752	52414
499	2757	52390
500	2771	52556
501	2777	52546
502	2784	52564
503	2794	52646
504	2798	52620
505	2803	52598
506	2807	52574
507	2812	52550
508	2817	52527
509	2821	52501
510	2825	52461
511	2829	52435
512	2834	52411
513	2838	52385
514	2843	52362
515	2846	52320
516	2851	52295
517	2855	52268
518	2857	52207
519	2862	52179
520	2866	52154
521	2870	52125
522	2875	52100
523	2879	52071
524	2883	52046
525	2888	52021
526	2892	51993
527	2896	51970
528	2901	51943
529	2905	51915
530	2909	51887
531	2914	51864
532	2918	51841
533	2923	51831
534	2926	51772
535	2931	51755
536	2935	51732
537	2940	51709
538	2947	51739
539	2953	51747
540	2963	51809
541	2970	51828
542	2979	51893
543	2992	52013
544	2998	52022
545	3013	52186
546	3020	52204
547	3034	52344
548	3045	52435
549	3064	52647
550	3076	52760
551	3083	52780
552	3101	52988
553	3119	53185
554	3128	53242
555	3138	53307
556	3152	53449
557	3163	53534
558	3174	53615
559	3188	53742
560	3198	53807
561	3207	53864
562	3217	53924
563	3226	53980
564	3238	54078
565	3244	54083
566	3253	54120
567	3270	54312
568	3291	54553
569	3298	54575
570	3305	54588
571	3311	54587
572	3320	54622
573	3328	54663
574	3354	54980
575	3373	55198
576	3379	55187
577	3391	55283
578	3401	55347
579	3411	55408
580	3420	55452
581	3426	55440
582	3431	55422
583	3436	55404
584	3441	55383
585	3446	55368
586	3451	55350
587	3456	55321
588	3460	55291
589	3464	55261
590	3469	55234
591	3473	55206
592	3478	55178
593	3482	55150
594	3487	55118
595	3491	55086
596	3494	55045
597	3499	55017
598	3503	54991
599	3508	54964
600	3512	54936
601	3517	54908
602	3521	54880
603	3526	54855
604	3530	54825
605	3534	54798
606	3539	54770
607	3543	54741
608	3547	54710
609	3552	54679
610	3556	54650
611	3560	54621
612	3567	54622
613	3573	54621
614	3579	54617
615	3585	54620
616	3594	54659
617	3598	54622
618	3601	54584
619	3606	54557
620	3610	54532
621	3615	54508
622	3619	54482
623	3624	54455
624	3628	54430
625	3632	54400
626	3637	54374
627	3641	54349
628	3646	54319
629	3650	54293
630	3654	54267
631	3659	54246
632	3664	54229
633	3669	54213
634	3674	54194
635	3679	54172
636	3683	54146
637	3688	54118
638	3692	54090
639	3696	54061
640	3701	54037
641	3705	54011
642	3710	53989
643	3714	53964
644	3718	53937
645	3723	53911
646	3727	53886
647	3730	53838
648	3734	53813
649	3739	53787
650	3743	53762
651	3747	53734
652	3751	53705
653	3757	53693
654	3768	53771
655	3775	53780
656	3786	53845
657	3791	53828
658	3793	53775
659	3798	53750
660	3802	53730
661	3807	53704
662	3811	53681
663	3815	53653
664	3820	53628
665	3824	53601
666	3828	53575
667	3833	53550
668	3837	53525
669	3841	53499
670	3846	53476
671	3850	53451
672	3855	53432
673	3859	53408
674	3864	53385
675	3868	53360
676	3873	53336
677	3877	53315
678	3882	53291
679	3886	53268
680	3890	53243
681	3895	53221
682	3899	53200
683	3904	53174
684	3908	53150
685	3912	53126
686	3917	53102
687	3921	53081
688	3924	53040
