iter	RMSE
0	182.8726685
1	179.3309533
2	176.2904345
3	173.0211863
4	169.8852887
5	166.7323216
6	163.6278832
7	160.7048835
8	158.0160763
9	155.3843528
10	152.8763995
11	150.3322327
12	147.8754911
13	145.7323906
14	143.4248791
15	141.2465254
16	139.0961544
17	137.1165147
18	135.3771426
19	133.7000833
20	131.9374657
21	130.2932848
22	128.6960993
23	127.1121459
24	125.7473181
25	124.2739939
26	122.8416584
27	121.49977
28	120.357939
29	119.1279619
30	118.0928516
31	117.0830005
32	116.1298373
33	115.2114608
34	114.3289236
35	113.3280888
36	112.3509982
37	111.531811
38	110.7464867
39	109.8981205
40	109.120505
41	108.2999278
42	107.6480524
43	106.9831712
44	106.2371981
45	105.6738865
46	105.0177383
47	104.4715718
48	103.986919
49	103.4592942
50	103.0147096
51	102.5980252
52	102.0673127
53	101.5732303
54	101.2078196
55	100.8556226
56	100.4689504
57	100.1663693
58	99.76626983
59	99.35222255
60	98.99320125
61	98.72274735
62	98.36575493
63	98.06600069
64	97.78979889
65	97.57942567
66	97.2987665
67	97.05769493
68	96.84803422
69	96.65141032
70	96.48190133
71	96.27263126
72	96.0030517
73	95.75938459
74	95.48539016
75	95.2622164
76	95.10928839
77	94.96538672
78	94.7850646
79	94.50484274
80	94.234821
81	94.04965377
82	93.85788936
83	93.64362875
84	93.43579428
85	93.24397279
86	93.06911775
87	92.88138305
88	92.75237908
89	92.66445696
90	92.53583703
91	92.33480743
92	92.14082005
93	92.02139261
94	91.87316101
95	91.70884865
96	91.59904207
97	91.46124788
98	91.37806758
99	91.25206816
100	91.17507494
101	91.09412839
102	91.01258433
103	90.94785532
104	90.84553475
105	90.65755182
106	90.545188
107	90.3912181
108	90.3095802
109	90.1524073
110	90.0324737
111	89.94146499
112	89.83599493
113	89.72482577
114	89.58224843
115	89.46149427
116	89.38265684
117	89.27292498
118	89.12878106
119	89.03918371
120	88.91836691
121	88.81005625
122	88.7146078
123	88.59294795
124	88.42415816
125	88.35761468
126	88.30528375
127	88.22475536
128	88.14449117
129	88.10303953
130	88.00727787
131	87.87929693
132	87.81826852
133	87.7918044
134	87.68556384
135	87.62564395
136	87.55800816
137	87.47636723
138	87.40600026
139	87.33118448
140	87.22782144
141	87.21506528
142	87.14097699
143	87.09322185
144	87.03069457
145	86.96410442
146	86.89977767
147	86.82839297
148	86.773848
149	86.7153597
150	86.68213635
151	86.62947203
152	86.53086342
153	86.44390892
154	86.37966189
155	86.26881443
156	86.1675681
157	86.07482355
158	85.9863226
159	85.94783165
160	85.92959995
161	85.80967105
162	85.76388385
163	85.71273573
164	85.67275514
165	85.59693574
166	85.5136253
167	85.46315808
168	85.41457807
169	85.39676297
170	85.34944389
171	85.320185
172	85.26027944
173	85.20757785
174	85.1745264
175	85.14932315
176	85.11034141
177	85.04861765
178	84.99580211
179	84.96983486
180	84.89680686
181	84.84954469
182	84.81007224
183	84.78907377
184	84.72821255
185	84.67602908
186	84.64622405
187	84.58909268
188	84.55412322
189	84.54192383
190	84.51113874
191	84.46268427
192	84.43711248
193	84.34515806
194	84.32132448
195	84.3025541
196	84.1866434
197	84.13592855
198	84.10537743
199	84.06106321
200	84.01097018
201	83.98713835
202	83.93467145
203	83.8893317
204	83.83155266
205	83.7649565
206	83.73566166
207	83.67586246
208	83.64180184
209	83.62233049
210	83.59222344
211	83.54392969
212	83.4919273
213	83.44460576
214	83.39170538
215	83.35740804
216	83.31211052
217	83.28386853
218	83.26650978
219	83.2427851
220	83.14126929
221	83.12202984
222	83.09441466
223	83.06857601
224	83.02226309
225	82.93211518
226	82.89169385
227	82.85953599
228	82.83102946
229	82.79162857
230	82.77236878
231	82.75229447
232	82.712847
233	82.66043478
234	82.62323571
235	82.51196877
236	82.45005169
237	82.39721247
238	82.36846136
239	82.36804394
240	82.33898489
241	82.27681859
242	82.2610093
243	82.21081756
244	82.18372185
245	82.0839539
246	82.05448109
247	82.03603607
248	81.99370591
249	81.92975375
250	81.88443041
251	81.80228353
252	81.79716778
253	81.70587295
254	81.66063344
255	81.62100256
256	81.59086116
257	81.57617906
258	81.52335351
259	81.48255311
260	81.45131531
261	81.41036992
262	81.35638385
263	81.32744405
264	81.32710183
265	81.32707339
266	81.30039798
267	81.23670427
268	81.21374134
269	81.15295186
270	81.14433815
271	81.07514617
272	81.07511824
273	81.05538423
274	80.99542353
275	80.97175544
276	80.93540111
277	80.92101622
278	80.88001857
279	80.85903015
280	80.7757312
281	80.74891409
282	80.73826499
283	80.67114601
284	80.6582157
285	80.64857826
286	80.58261432
287	80.55438754
288	80.47337057
289	80.47336044
290	80.42612455
291	80.41724098
292	80.36842947
293	80.33867723
294	80.2892844
295	80.26886167
296	80.24827083
297	80.17977754
298	80.14312691
299	80.07935965
300	80.02978415
301	80.01126368
302	79.99723811
303	79.95397686
304	79.90640275
305	79.88478887
306	79.861429
307	79.79428154
308	79.78239064
309	79.78238175
310	79.75258825
311	79.73258983
312	79.71415327
313	79.69770256
314	79.67265317
315	79.66171444
316	79.6498375
317	79.62736543
318	79.62483376
319	79.60197198
320	79.57781923
321	79.57101238
322	79.51147144
323	79.51146924
324	79.48955313
325	79.42727004
326	79.42724961
327	79.41358847
328	79.39511038
329	79.33160001
330	79.33138073
331	79.31418235
332	79.27828186
333	79.21582935
334	79.13884594
335	79.07801493
336	79.01793198
337	79.00029765
338	78.9488866
339	78.93915836
340	78.93708594
341	78.92465298
342	78.9246485
343	78.9128234
344	78.86112241
345	78.82354063
346	78.81124404
347	78.72734972
348	78.70546676
349	78.65830752
350	78.6353268
351	78.60543853
352	78.55276755
353	78.51204277
354	78.5120135
355	78.51201234
356	78.51201126
357	78.48788611
358	78.44250061
359	78.44250004
360	78.41302407
361	78.41245609
362	78.34851654
363	78.30803255
364	78.30792643
365	78.30370287
366	78.25062109
367	78.2434274
368	78.22265729
369	78.20133163
370	78.15049512
371	78.09665954
372	78.05868121
373	78.0395705
374	78.03956768
375	78.03488943
376	78.00845534
377	77.98148734
378	77.93912058
379	77.88581895
380	77.84936435
381	77.81409544
382	77.80531964
383	77.75699836
384	77.70973712
385	77.68604765
386	77.67259851
387	77.65431052
388	77.6256332
389	77.62562912
390	77.57845976
391	77.5784445
392	77.56279244
393	77.5627887
394	77.49422491
395	77.48579399
396	77.48160461
397	77.43031009
398	77.37777828
399	77.33907944
400	77.32276366
401	77.28906398
402	77.27486203
403	77.26549288
404	77.24609508
405	77.21550588
406	77.19014641
407	77.17066122
408	77.17065896
409	77.14414217
410	77.14028661
411	77.12709119
412	77.1197999
413	77.07020161
414	77.01962071
415	77.01959565
416	76.97631203
417	76.90212813
418	76.88471778
419	76.86671409
420	76.85658943
421	76.8353398
422	76.82826322
423	76.82826244
424	76.81668607
425	76.8101371
426	76.77613626
427	76.75530235
428	76.75528321
429	76.74261087
430	76.73211226
431	76.69990984
432	76.69989134
433	76.67677794
434	76.67677646
435	76.67676048
436	76.62863702
437	76.62487943
438	76.62487815
439	76.62487695
440	76.61516366
441	76.58721316
442	76.57329616
443	76.55980471
444	76.54471117
445	76.52781722
446	76.50679512
447	76.48488635
448	76.4517546
449	76.45173148
450	76.44275089
451	76.3973294
452	76.38591856
453	76.37602783
454	76.35765554
455	76.34674987
456	76.32641376
457	76.31688527
458	76.28766777
459	76.26478964
460	76.23663621
461	76.21390462
462	76.16309464
463	76.14684177
464	76.12209979
465	76.11384179
466	76.09518012
467	76.06360919
468	76.0416909
469	76.01080071
470	75.98639711
471	75.96745643
472	75.95561542
473	75.93399328
474	75.910693
475	75.89462153
476	75.88112998
477	75.88104224
478	75.86147203
479	75.85009542
480	75.81071367
481	75.80798987
482	75.79598945
483	75.76710511
484	75.76709675
485	75.75180791
486	75.71893994
487	75.66164498
488	75.62782512
489	75.60299712
490	75.59804349
491	75.54646094
492	75.50727132
493	75.48136552
494	75.44386596
495	75.43250515
496	75.4183704
497	75.39714705
498	75.39155882
499	75.37487716
500	75.37487382
501	75.34479746
502	75.32970674
503	75.31385511
504	75.29314394
505	75.26838403
506	75.25432732
507	75.24175458
508	75.23616997
509	75.229826
510	75.22879802
511	75.22372766
512	75.196998
513	75.17255479
514	75.15719096
515	75.1569347
516	75.15460085
517	75.12191715
518	75.12191383
519	75.10554889
520	75.07815067
521	75.0529305
522	75.0407689
523	74.98652901
524	74.96683195
525	74.94564299
526	74.91058092
527	74.90305775
528	74.86171895
529	74.82753419
530	74.80379045
531	74.79058192
532	74.76955504
533	74.75458768
534	74.75458558
535	74.72574886
536	74.72061566
537	74.68700575
538	74.67266005
539	74.64802674
540	74.64315469
541	74.62239015
542	74.60905222
543	74.60586715
544	74.59966879
545	74.59247394
546	74.57513418
547	74.55285872
548	74.52476936
549	74.48593921
550	74.47371341
551	74.45634967
552	74.44688595
553	74.41488586
554	74.39042715
555	74.38563502
556	74.36585785
557	74.35288292
558	74.34403658
559	74.33205739
560	74.31491126
561	74.31490778
562	74.2926294
563	74.28703788
564	74.27250535
565	74.26941297
566	74.26487522
567	74.22924783
568	74.22362672
569	74.2115766
